;
2. Population totale par âge et sexe, Population totale, ELP : Estimation localisée de population;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA&source=800341;
;
;
;2015;;
;Pop. totale : ensemble;;
;ELP : Estimation localisée de population;;
000 France métropolitaine;64277242;;
001 France entière;66380602;;
D01 Ain;634173p;;
D02 Aisne;538743p;;
D03 Allier;343680p;;
D04 Alpes-de-Haute-Provence;162924p;;
D05 Hautes-Alpes;140706p;;
D06 Alpes-Maritimes;1081821p;;
D07 Ardèche;323543p;;
D08 Ardennes;278970p;;
D09 Ariège;153011p;;
D10 Aube;308085p;;
D11 Aude;370056p;;
D12 Aveyron;278062p;;
D13 Bouches-du-Rhône;2007684p;;
D14 Calvados;693277p;;
D15 Cantal;146299p;;
D16 Charente;354586p;;
D17 Charente-Maritime;639596p;;
D18 Cher;311768p;;
D19 Corrèze;238713p;;
D21 Côte-d'Or;533023p;;
D22 Côtes-d'Armor;599438p;;
D23 Creuse;119381p;;
D24 Dordogne;418219p;;
D25 Doubs;536474p;;
D26 Drôme;501154p;;
D27 Eure;599518p;;
D28 Eure-et-Loir;435171p;;
D29 Finistère;907423p;;
D2A Corse-du-Sud;152720p;;
D2B Haute-Corse;174178p;;
D30 Gard;748509p;;
D31 Haute-Garonne;1335366p;;
D32 Gers;191639p;;
D33 Gironde;1542964p;;
D34 Hérault;1123990p;;
D35 Ille-et-Vilaine;1039983p;;
D36 Indre;225590p;;
D37 Indre-et-Loire;606164p;;
D38 Isère;1253614p;;
D39 Jura;259455p;;
D40 Landes;405213p;;
D41 Loir-et-Cher;332775p;;
D42 Loire;761357p;;
D43 Haute-Loire;227509p;;
D44 Loire-Atlantique;1358627p;;
D45 Loiret;670906p;;
D46 Lot;173021p;;
D47 Lot-et-Garonne;334106p;;
D48 Lozère;76204p;;
D49 Maine-et-Loire;809505p;;
D50 Manche;500019p;;
D51 Marne;572968p;;
D52 Haute-Marne;179638p;;
D53 Mayenne;307831p;;
D54 Meurthe-et-Moselle;729664p;;
D55 Meuse;190550p;;
D56 Morbihan;747458p;;
D57 Moselle;1047013p;;
D58 Nièvre;212111p;;
D59 Nord;2607174p;;
D60 Oise;822858p;;
D61 Orne;286256p;;
D62 Pas-de-Calais;1466483p;;
D63 Puy-de-Dôme;646537p;;
D64 Pyrénées-Atlantiques;670434p;;
D65 Hautes-Pyrénées;228304p;;
D66 Pyrénées-Orientales;472033p;;
D67 Bas-Rhin;1118009p;;
D68 Haut-Rhin;763716p;;
D69 Rhône;1816373p;;
D70 Haute-Saône;238181p;;
D71 Saône-et-Loire;555840p;;
D72 Sarthe;572135p;;
D73 Savoie;429253p;;
D74 Haute-Savoie;791094p;;
D75 Paris;2218536p;;
D76 Seine-Maritime;1255587p;;
D77 Seine-et-Marne;1391429p;;
D78 Yvelines;1424411p;;
D79 Deux-Sèvres;372586p;;
D80 Somme;571595p;;
D81 Tarn;386004p;;
D82 Tarn-et-Garonne;255666p;;
D83 Var;1041681p;;
D84 Vaucluse;554619p;;
D85 Vendée;667970p;;
D86 Vienne;433682p;;
D87 Haute-Vienne;375363p;;
D88 Vosges;371792p;;
D89 Yonne;340884p;;
D90 Territoire de Belfort;145074p;;
D91 Essonne;1279864p;;
D92 Hauts-de-Seine;1603379p;;
D93 Seine-Saint-Denis;1573959p;;
D94 Val-de-Marne;1372018p;;
D95 Val-d'Oise;1210318p;;
D9A Guadeloupe;400132;;
D9B Martinique;378243;;
D9C Guyane;254541;;
D9D Réunion;843529;;
D9F Mayotte;226915;;
R11 Ile-de-France;12073914;;
R21 Champagne-Ardenne;1339661;;
R22 Picardie;1933196;;
R23 Haute-Normandie;1855105;;
R24 Centre;2582374;;
R25 Basse-Normandie;1479552;;
R26 Bourgogne;1641858;;
R31 Nord-Pas-de-Calais;4073657;;
R41 Lorraine;2339019;;
R42 Alsace;1881725;;
R43 Franche-Comté;1179184;;
R52 Pays de la Loire;3716068;;
R53 Bretagne;3294302;;
R54 Poitou-Charentes;1800450;;
R72 Aquitaine;3370936;;
R73 Midi-Pyrénées;3001073;;
R74 Limousin;733457;;
R82 Rhône-Alpes;6510561;;
R83 Auvergne;1364025;;
R91 Languedoc-Roussillon;2790792;;
R93 Provence-Alpes-Côte d'Azur;4989435;;
R94 Corse;326898;;
ROM Départements d'Outre-Mer;2103360;;
Légende;
p : Provisoire;
;
;
Eco-Santé France, Régions & Départements - Mise à jour : Avril 2016;http://www.ecosante.fr/index2.php?base=DEPA&langs=FRA&langh=FRA;
